Longitude,Latitude,Predicted_UHI
-70.55725833,-33.51791,Low
-70.55674,-33.51781333,Low
-70.55620667,-33.51770833,Low
-70.55568667,-33.51759667,Low
-70.55522333,-33.517435,Low
-70.55488667,-33.51731167,Low
-70.55454667,-33.51721167,Low
-70.55410667,-33.51710833,Low
-70.55362333,-33.51699833,Low
-70.55320333,-33.51690167,Low
-70.55281167,-33.51680667,Low
-70.55239167,-33.51670333,Low
-70.551955,-33.51659167,Low
-70.55157333,-33.51650333,Low
-70.55117833,-33.51640667,Low
-70.550775,-33.51631667,Low
-70.55048833,-33.51619833,Low
-70.550255,-33.51592333,Low
-70.55006833,-33.51553667,Low
-70.55000167,-33.51511,Low
-70.549965,-33.51474167,Low
-70.54972833,-33.514605,Low
-70.549265,-33.51459333,Low
-70.54879833,-33.51454667,Low
-70.54871333,-33.51472167,Low
-70.54872,-33.51501333,Low
-70.54877333,-33.51530333,Low
-70.54880333,-33.51563833,Low
-70.54883333,-33.51603333,Low
-70.54886,-33.51648333,Low
-70.54887,-33.51686667,Low
-70.54888333,-33.51725,Low
-70.54890667,-33.51760833,Low
-70.54891833,-33.51790667,Low
-70.557005,-33.51786333,Low
-70.55647333,-33.51775833,Low
-70.55594167,-33.51765667,Low
-70.55544167,-33.517515,Low
-70.55505167,-33.51736833,Low
-70.55471833,-33.51726167,Low
-70.554345,-33.51716167,Medium
-70.55385833,-33.517055,Low
-70.55340167,-33.51694667,Low
-70.55301,-33.51685667,Low
-70.552605,-33.51675667,Low
-70.55217167,-33.51664667,Low
-70.551755,-33.51654167,Low
-70.55137833,-33.516455,Low
-70.55096667,-33.51635667,Low
-70.55061833,-33.516275,Low
-70.55037167,-33.51607833,Low
-70.550145,-33.51572667,Low
-70.55001667,-33.51532667,Low
-70.54999833,-33.51490833,Low
-70.549875,-33.51463833,Low
-70.54950167,-33.51460167,Low
-70.54901333,-33.51457333,Low
-70.54866833,-33.51456,Low
-70.548715,-33.51487833,Low
-70.54875,-33.51516,Low
-70.54879333,-33.51548667,Low
-70.54881833,-33.51582,Low
-70.54884667,-33.51625833,Low
-70.54887167,-33.51668333,Low
-70.54887833,-33.51705833,Low
-70.54889833,-33.51742167,Low
-70.54891,-33.51773833,Low
-70.75983337,-33.50957314,Medium
-70.75741193,-33.50935561,Medium
-70.7574545,-33.51001417,Medium
-70.75744375,-33.5112875,Medium
-70.75992667,-33.509075,Medium
-70.759975,-33.50866333,Medium
-70.76,-33.50838333,Medium
-70.75997833,-33.50796833,Medium
-70.75962667,-33.50783833,Medium
-70.75925167,-33.50783167,Medium
-70.758975,-33.50782667,Medium
-70.75846833,-33.50783667,Medium
-70.75789,-33.50782833,Medium
-70.75747833,-33.50782833,Medium
-70.75741167,-33.508155,Medium
-70.75743333,-33.50862167,Medium
-70.75742667,-33.508995,Medium
-70.75742833,-33.50964167,Medium
-70.757455,-33.51029,Medium
-70.75745833,-33.51059333,Medium
-70.75743833,-33.51090167,Medium
-70.757455,-33.51156667,Medium
-70.75744833,-33.51190333,Medium
-70.75744833,-33.51221,Medium
-70.75744833,-33.51260333,Medium
-70.75745167,-33.51306333,Medium
-70.757465,-33.51352667,Medium
-70.75744333,-33.51403833,Medium
-70.75741833,-33.51447,Medium
-70.75741167,-33.51493833,Medium
-70.75990667,-33.50928833,Medium
-70.75994167,-33.50893833,Medium
-70.75998333,-33.508545,Medium
-70.76001167,-33.50819,Medium
-70.759795,-33.50785167,Medium
-70.75944,-33.50783833,Medium
-70.759095,-33.50783167,Medium
-70.75875333,-33.50783333,Medium
-70.75814167,-33.50783167,Medium
-70.75763667,-33.507825,Medium
-70.75741333,-33.507995,Medium
-70.75741333,-33.50831667,Medium
-70.75743167,-33.50880667,Medium
-70.75742667,-33.50913333,Medium
-70.75744,-33.50985333,Medium
-70.75746167,-33.510435,Medium
-70.75744667,-33.510755,Medium
-70.75744,-33.511165,Medium
-70.75745333,-33.51175167,Medium
-70.75744667,-33.51205667,Medium
-70.75745167,-33.51238333,Medium
-70.75743167,-33.51282667,Medium
-70.75746167,-33.51329667,Medium
-70.757455,-33.513795,Medium
-70.75743167,-33.51424667,Medium
-70.75741833,-33.51469667,Medium
-70.75741167,-33.51516667,Medium
-70.70631694,-33.36548833,Medium
-70.71353733,-33.366701,High
-70.71548458,-33.36115375,Medium
-70.71892875,-33.36037417,High
-70.71954542,-33.36027417,High
-70.72072667,-33.35999625,High
-70.72074552,-33.3576949,High
-70.72860572,-33.35291489,Medium
-70.72927917,-33.35580688,High
-70.729295,-33.35634958,High
-70.72930722,-33.357305,High
-70.73704292,-33.35797063,Medium
-70.74809861,-33.35462597,High
-70.74961708,-33.35450417,High
-70.75010167,-33.35922444,High
-70.74953083,-33.36009583,High
-70.74913563,-33.36075875,High
-70.780765,-33.36763083,Low
-70.78114062,-33.36777583,Low
-70.76066875,-33.38633083,Medium
-70.74669333,-33.38286083,Medium
-70.72278667,-33.37846083,Medium
-70.71561056,-33.37443944,Low
-70.70633333,-33.36562667,Medium
-70.70671667,-33.36574333,Medium
-70.70714333,-33.36583333,Medium
-70.70759667,-33.3659,High
-70.708045,-33.36591,High
-70.70846833,-33.36590333,High
-70.708905,-33.36591167,Medium
-70.70941667,-33.365955,High
-70.709915,-33.36602667,High
-70.71042,-33.3661,High
-70.71087833,-33.36618333,High
-70.71124167,-33.36625167,High
-70.71157167,-33.36629833,High
-70.711915,-33.36635833,High
-70.712255,-33.366425,High
-70.71261833,-33.366505,High
-70.71303,-33.3666,High
-70.71338333,-33.36666833,High
-70.71373667,-33.36665167,High
-70.71385833,-33.36629667,High
-70.71396167,-33.36595167,High
-70.71406167,-33.36565333,High
-70.71409,-33.365355,High
-70.71406333,-33.365015,High
-70.714035,-33.36464,Medium
-70.71399667,-33.36425667,High
-70.713985,-33.36393,High
-70.71396333,-33.36360833,Medium
-70.71400833,-33.36323333,Medium
-70.71407667,-33.36293667,High
-70.71406833,-33.362625,High
-70.71404167,-33.362305,High
-70.71401167,-33.36195667,Medium
-70.71398667,-33.36163167,Medium
-70.71396167,-33.36136,High
-70.71426167,-33.36121167,High
-70.71462,-33.36122667,Medium
-70.71495667,-33.36120667,Medium
-70.71525667,-33.36118833,High
-70.71590167,-33.36105167,Medium
-70.716305,-33.36095833,High
-70.71679667,-33.36084667,Medium
-70.71712667,-33.36077667,Medium
-70.71748333,-33.36070333,Medium
-70.71781667,-33.36063667,Medium
-70.71813167,-33.36056333,Medium
-70.718435,-33.36047333,High
-70.71926167,-33.36032833,High
-70.72004667,-33.36014667,High
-70.72054333,-33.36006167,High
-70.72080167,-33.35972167,High
-70.720795,-33.35938667,High
-70.72078,-33.35904833,High
-70.72077,-33.3587,High
-70.72076167,-33.35832833,High
-70.72074333,-33.358015,High
-70.72073667,-33.35727333,High
-70.720725,-33.356935,High
-70.720715,-33.35660833,High
-70.720715,-33.35624333,High
-70.72069333,-33.35583833,High
-70.720695,-33.35543333,High
-70.72071667,-33.355035,High
-70.72072833,-33.35469,High
-70.72099167,-33.35446833,High
-70.7213,-33.35438833,High
-70.72168833,-33.35428,High
-70.72208,-33.35417833,High
-70.72249167,-33.35409667,High
-70.72296667,-33.35399,High
-70.72347167,-33.35388333,High
-70.72379667,-33.35380667,High
-70.72424667,-33.35375,High
-70.72459,-33.35370833,High
-70.724955,-33.35366333,High
-70.72538333,-33.35362,High
-70.72574833,-33.35356667,High
-70.72617667,-33.35348667,High
-70.72661167,-33.35339833,High
-70.72703,-33.35331667,High
-70.72748,-33.35323167,High
-70.72794667,-33.353135,High
-70.72831833,-33.35303333,High
-70.72878,-33.35286167,High
-70.72909333,-33.352895,High
-70.72912667,-33.35322167,Medium
-70.72914833,-33.35357,High
-70.72916833,-33.35394667,High
-70.729185,-33.35430667,High
-70.72921833,-33.35467167,High
-70.72923333,-33.35502667,High
-70.72924667,-33.35530333,High
-70.729275,-33.35568167,High
-70.72928833,-33.35609667,High
-70.72932,-33.356725,High
-70.72931667,-33.356985,High
-70.72931833,-33.35759833,Medium
-70.72960333,-33.35768167,High
-70.72993167,-33.35768333,High
-70.73026667,-33.35768667,High
